Unnamed: 0,consumer_sentiment,federal_funds_rate,bbkmgdp,labor_force_participation_rate,m2,yield_10_year,mortgage_30_year,msci,savings_rate,sp500_monthly_open,sp500_monthly_high,sp500_monthly_low,close ,sp500_monthly_volume,sp500_pe_ratio,vehicle_sales,unemployment_rate,percent_change,Savings_Rate_Change_Percent,Propensity_Score,IPW
61,90.7,1.74,3.5865324052718086,66.8,5490.4,4.911578947368421,6.8925,126817.32087624756,5.4,1130.2,1130.2,1074.36,1106.73,26047600000.0,44.57,17.304,5.7,0.3334060570935071,-0.03571428571428559,0.01,0.0031837916063675834
62,95.7,1.73,2.017965236819068,66.6,5502.2,5.284,7.014,132403.62233347152,5.5,1106.73,1173.94,1106.73,1147.39,26563200000.0,46.71,17.107,5.7,-2.7691632328683564,0.01851851851851838,0.01,0.0031837916063675834
63,93.0,1.75,2.633677706595509,66.7,5502.3,5.21090909090909,6.985,127903.255635981,5.4,1147.39,1147.84,1063.46,1076.92,28568900000.0,43.81,17.668,5.9,-2.6717353236608723,-0.018181818181818077,0.01,0.0031837916063675834
64,96.9,1.75,1.940636861815632,66.7,5528.5,5.164545454545455,6.806,128116.5141417684,6.1,1076.92,1106.59,1048.96,1067.14,26905500000.0,41.41,16.197,5.8,-0.852136084860018,0.12962962962962954,0.01,0.0031837916063675834
65,92.4,1.75,2.5696617489414493,66.6,5553.5,4.9265,6.65,120321.03568126015,6.1,1067.14,1070.74,952.92,989.82,29981510000.0,37.92,16.953,5.8,6.978385818287035,0.0,0.01,0.0031837916063675834
66,88.1,1.73,1.4483848342505992,66.5,5596.2,4.653181818181817,6.485,110168.61707215969,5.3,989.82,994.46,775.68,911.62,42228720000.0,32.46,18.147,5.8,0.09038553603463884,-0.13114754098360648,0.01,0.0031837916063675834
67,87.6,1.74,1.6454654511778273,66.6,5638.4,4.257272727272727,6.29,110356.74882816237,5.2,911.62,965.0,833.44,916.07,29298400000.0,31.53,18.449,5.7,-1.0617867907338556,-0.01886792452830177,0.01,0.0031837916063675834
68,86.1,1.75,-0.1075317020042803,66.7,5662.5,3.87,6.0925,98206.43474379006,5.8,916.07,924.02,800.2,815.28,27723710000.0,28.89,16.665,5.7,-23.539413859129542,0.11538461538461542,0.01,0.0031837916063675834
69,80.6,1.75,-0.3678867458687369,66.6,5707.2,3.9409090909090905,6.1125,105442.6835878958,5.6,815.28,907.44,768.63,885.76,37856310000.0,29.24,16.259,5.7,-1.7857245491945188,-0.034482758620689724,0.01,0.0031837916063675834
70,84.2,1.34,1.8779717650609025,66.4,5758.2,4.0484210526315785,6.068,111111.6992442843,5.6,885.76,941.82,872.05,936.31,29200960000.0,32.03,16.52,5.9,-0.33984489050720845,0.0,0.01,0.0031837916063675834
71,86.7,1.24,0.3774834507612046,66.3,5779.5,4.032380952380952,6.0475,105713.21067567998,5.3,936.31,954.28,869.45,879.82,25993640000.0,32.59,17.866,6.0,-2.0571748362400077,-0.05357142857142849,0.01,0.0031837916063675834
72,82.4,1.24,3.282112957716059,66.4,5812.3,4.048571428571429,5.916,102491.69350467142,5.3,879.82,935.05,840.34,855.7,30749580000.0,31.43,16.708,5.8,-0.5456070753042188,0.0,0.01,0.0031837916063675834
73,79.9,1.26,1.7589397490147416,66.4,5848.4,3.902631578947368,5.8425,100697.93692803165,5.2,855.7,864.64,806.29,841.15,25235300000.0,28.46,16.114,5.9,-0.37976254638923823,-0.01886792452830177,0.01,0.0031837916063675834
74,77.6,1.25,2.8971532205251687,66.3,5868.6,3.807142857142857,5.745,100365.5495679347,4.9,841.15,895.9,788.9,848.18,30080030000.0,27.92,16.467,5.9,-1.4915191176864133,-0.05769230769230771,0.01,0.0031837916063675834
75,86.0,1.26,2.284042504636064,66.4,5905.7,3.9585714285714286,5.8125,109259.7812569752,5.0,848.18,924.24,847.85,916.92,29669610000.0,28.05,16.751,6.0,8.697049765363147,0.020408163265306145,0.01,0.0031837916063675834
76,92.1,1.26,5.1560716555447765,66.4,5965.5,3.5690476190476192,5.484,115480.37371257292,5.3,916.92,965.38,902.83,963.59,30952100000.0,28.24,16.47,6.1,-0.37196354289843914,0.06000000000000005,0.01,0.0031837916063675834
77,89.7,1.22,7.042670178727475,66.5,6002.4,3.3342857142857145,5.23,117464.43034342016,5.1,963.59,1015.33,963.59,974.5,31219400000.0,28.6,17.013,6.3,-0.7775532263638073,-0.037735849056603765,0.01,0.0031837916063675834
78,90.9,1.01,7.440219511677676,66.2,6049.4,3.9754545454545456,5.6325,119836.03839163292,5.9,974.5,1015.41,962.1,990.31,31553200000.0,27.65,17.117,6.2,0.43290553476623717,0.15686274509803932,0.01,0.0031837916063675834
79,89.3,1.03,5.8243683451057375,66.1,6107.3,4.445238095238095,6.264,122410.38232199223,5.7,990.31,1011.01,960.84,1008.01,24881470000.0,26.57,18.262,6.1,0.10167140080741088,-0.03389830508474578,0.01,0.0031837916063675834
80,87.7,1.01,6.168187559214278,66.1,6079.9,4.274285714285714,6.1475,123147.09352380344,4.9,1008.01,1040.29,990.36,995.97,29940110000.0,26.42,17.286,6.1,-1.6682816627514154,-0.14035087719298245,0.01,0.0031837916063675834
81,89.6,1.01,4.573104987976535,66.1,6070.2,4.290454545454546,5.952,130442.58792768088,5.0,995.97,1053.79,995.97,1050.71,32298500000.0,24.75,16.489,6.0,-5.601473122731129,0.020408163265306145,0.01,0.0031837916063675834
82,93.7,1.0,3.858836234561114,66.1,6075.7,4.3,5.9325,132414.14495711232,5.0,1050.71,1063.65,1031.2,1058.2,24463220000.0,23.15,17.563,5.8,-0.8702998685993856,0.0,0.01,0.0031837916063675834
83,92.6,0.98,1.9527641826726776,65.9,6074.0,4.267727272727273,5.876,140711.26558464332,5.0,1058.2,1112.56,1053.41,1111.92,27839130000.0,22.17,17.357,5.7,6.12146418875385,0.0,0.01,0.0031837916063675834
84,103.8,1.0,1.1978297370748847,66.1,6082.2,4.1505,5.7125,142969.10175058196,4.6,1111.92,1155.38,1105.08,1131.13,32820000000.0,22.73,16.695,5.7,-0.6596814860553653,-0.08000000000000007,0.01,0.0031837916063675834
