,consumer_sentiment,federal_funds_rate,bbkmgdp,labor_force_participation_rate,m2,yield_10_year,mortgage_30_year,msci,savings_rate,sp500_monthly_open,sp500_monthly_high,sp500_monthly_low,close ,sp500_monthly_volume,sp500_pe_ratio,vehicle_sales,unemployment_rate,percent_change
233,93.5,0.38,3.24383058942196,62.7,12841.1,1.6440909090909093,3.568,289196.8368355601,4.9,2093.94,2120.55,1991.68,2098.86,86852700000.0,23.97,17.735,4.9,0.09108467059302239
234,90.0,0.39,3.4303924506881893,62.8,12902.2,1.504,3.44,301414.94212557,5.1,2099.34,2177.09,2074.02,2173.6,69530250000.0,24.52,18.109,4.8,3.5609807228685897
235,89.8,0.4,2.6639988895144358,62.9,12988.9,1.556521739130435,3.435,301665.44434169825,5.1,2173.15,2193.81,2147.58,2170.95,75610310000.0,24.57,17.927,4.9,-0.12191755612808164
236,91.2,0.4,2.4367640528939907,62.9,13047.9,1.6304761904761904,3.46,303267.88048850483,5.1,2171.33,2187.87,2119.12,2168.27,77023620000.0,24.22,17.956,5.0,-0.12344825997834263
237,87.2,0.4,2.072126178430415,62.8,13112.8,1.7645,3.47,297398.7436625108,5.3,2164.33,2169.6,2114.72,2126.15,72915530000.0,23.57,17.954,4.9,-1.942562503747225
238,93.8,0.41,1.749675626197865,62.7,13182.4,2.142,3.77,301675.07413666655,5.4,2128.68,2214.1,2083.79,2198.81,88445380000.0,23.35,17.792,4.7,3.4174446769983158
239,98.2,0.54,2.662487357988015,62.7,13215.3,2.4919047619047614,4.198,308893.657727751,5.0,2200.17,2277.53,2187.44,2238.83,75344550000.0,23.76,18.277,4.7,1.8200754044233047
240,98.5,0.65,2.02749742768074,62.8,13286.4,2.4325,4.15,316348.8409170626,5.3,2251.57,2300.99,2245.13,2278.87,70576420000.0,23.59,17.652,4.7,1.7884341374735824
241,96.3,0.66,1.399548981947906,62.9,13351.2,2.418947368421053,4.1675,325125.4743152323,5.6,2285.59,2371.54,2271.65,2363.64,69260940000.0,23.68,17.699,4.6,3.7198260541408734
242,96.9,0.79,1.5123423924496304,62.9,13420.1,2.4817391304347822,4.196,328588.6929625969,5.6,2380.13,2400.98,2322.25,2362.72,81664010000.0,23.6,17.061,4.4,-0.03892301704151446
243,97.0,0.9,2.598714991571768,63.0,13481.0,2.297368421052632,4.045,333454.03526673256,5.7,2362.34,2398.16,2328.95,2384.2,65369860000.0,23.24,17.166,4.4,0.909121690255299
244,97.1,0.91,2.266332508699364,62.8,13539.7,2.303636363636364,4.01,340508.0832881605,6.3,2388.5,2418.71,2352.72,2411.8,79719460000.0,23.31,17.081,4.4,1.157621004949272
245,95.0,1.04,3.345093016969952,62.8,13564.1,2.1868181818181816,3.904,341818.1818181818,6.0,2415.65,2453.82,2405.7,2423.41,81078810000.0,23.4,17.13,4.3,0.48138319927024664
246,93.4,1.15,2.808526969322526,62.9,13628.9,2.318,3.9675,349998.72453046776,6.0,2431.39,2484.04,2407.7,2470.3,63348090000.0,23.36,17.237,4.3,1.9348768883515444
